game_id,nickname,score,rating,bot_name,bot_score,bot_rating,first,game_end_reason,winner,game_duration_seconds
1,stevy,429,1500.0,BetterBot,335,1637.0,bot,STANDARD,1,674.844273805618
3,davidavid,440,1811.0,BetterBot,318,2071.0,bot,STANDARD,1,492.268262147903
4,Inandoutworker,119,1473.0,BetterBot,478,1936.0,bot,RESIGNED,0,350.861140966415
5,stevy,325,1500.0,STEEBot,427,1844.0,bot,STANDARD,0,642.688721895218
6,HivinD,378,2029.0,STEEBot,427,2143.0,player,STANDARD,0,426.95054101944
8,AliSalman1,414,2067.0,HastyBot,528,2244.0,bot,STANDARD,0,458.019893169403
9,cccc,364,1641.0,BetterBot,464,1624.0,bot,STANDARD,0,567.144134998322
10,squashy,299,1838.0,BetterBot,415,1972.0,player,STANDARD,0,118.911214828491
12,BB-8,351,1500.0,HastyBot,408,1614.0,bot,STANDARD,0,253.085242986679
13,Trayz,434,2017.0,STEEBot,381,2122.0,bot,STANDARD,1,682.534649848938
15,meetsumeet,403,1863.0,STEEBot,451,2155.0,player,STANDARD,0,669.931478023529
16,Mimix,418,1829.0,BetterBot,385,1927.0,bot,STANDARD,1,211.524091959
17,BB-8,280,1500.0,HastyBot,518,1615.0,bot,STANDARD,0,180.863844871521
18,PVMG,332,1948.0,BetterBot,419,1907.0,player,STANDARD,0,256.28924703598
19,HivinD,380,2151.0,STEEBot,471,2259.0,player,STANDARD,0,278.572545051575
20,Favournew,356,1851.0,STEEBot,389,2095.0,bot,STANDARD,0,1240.28856420517
21,BB-8,334,1500.0,HastyBot,360,1664.0,bot,STANDARD,0,243.117453813553
22,NoelL,458,2056.0,HastyBot,426,2183.0,bot,STANDARD,1,567.10594701767
23,pandorable,359,1674.0,BetterBot,371,1832.0,bot,STANDARD,0,165.731761932373
24,Avyze,476,2099.0,STEEBot,382,2221.0,player,STANDARD,1,390.934312105179
25,wagyus,574,2072.0,HastyBot,404,2318.0,player,STANDARD,1,425.864067077637
26,HivinD,372,2086.0,STEEBot,427,2096.0,player,STANDARD,0,712.019593000412
29,wagyus,451,2083.0,HastyBot,471,2335.0,player,STANDARD,0,161.781483888626
30,ji1222,444,1712.0,HastyBot,467,2202.0,player,STANDARD,0,785.886790037155
31,AWFUL,419,2138.0,STEEBot,421,2213.0,bot,STANDARD,0,354.535847187042
33,Hercules,451,1853.0,STEEBot,377,1811.0,bot,STANDARD,1,404.420747041702
34,stevy,354,1500.0,BetterBot,425,1735.0,bot,STANDARD,0,693.335864782333
35,Olympicnaija,406,1947.0,STEEBot,445,2183.0,player,STANDARD,0,525.551964044571
36,TrentonTron,517,1956.0,HastyBot,379,2143.0,player,STANDARD,1,582.796440839767
37,derickalim,387,1890.0,BetterBot,318,2008.0,player,STANDARD,1,422.648838043213
38,shcheah,441,2067.0,HastyBot,433,2238.0,bot,STANDARD,1,353.471489906311
39,ji1222,486,1712.0,HastyBot,414,2150.0,player,STANDARD,1,870.416095018387
42,DDarien,365,1884.0,STEEBot,466,2154.0,bot,STANDARD,0,769.896170139313
43,chloe,416,1873.0,HastyBot,486,2024.0,player,STANDARD,0,224.330013036728
45,stevy,355,1500.0,STEEBot,442,1874.0,player,STANDARD,0,804.88757109642
46,Kathleen3,526,1982.0,BetterBot,307,2075.0,player,STANDARD,1,476.143342971802
47,Goldenlamb,412,2055.0,STEEBot,445,2113.0,bot,STANDARD,0,232.288573026657
48,kar2008,444,1838.0,BetterBot,430,1704.0,player,STANDARD,1,783.259199857712
49,DJosh,408,2035.0,STEEBot,388,2186.0,bot,STANDARD,1,870.060683012009
50,Zynx,419,1905.0,BetterBot,358,2003.0,player,STANDARD,1,252.049530029297
51,Leo,313,1755.0,STEEBot,467,1842.0,player,STANDARD,0,317.091593027115
52,Juma,444,1612.0,BetterBot,421,2004.0,player,STANDARD,1,536.583702087402
53,UcheVictor,410,1948.0,STEEBot,428,2152.0,bot,STANDARD,0,496.393283128738
54,BB-8,357,1500.0,HastyBot,422,1635.0,bot,STANDARD,0,184.26033616066
56,Gtowngrad,401,1387.0,BetterBot,351,1628.0,bot,STANDARD,1,804.325757980347
58,eideticeve,389,1910.0,HastyBot,495,2212.0,bot,STANDARD,0,641.109941959381
59,audrey.lwx,379,1513.0,BetterBot,426,2024.0,bot,STANDARD,0,781.211561918259
64,snorkl,336,1864.0,STEEBot,440,2080.0,player,STANDARD,0,476.483795881271
66,kar2008,287,1761.0,BetterBot,528,1740.0,bot,STANDARD,0,279.014904975891
67,stevy,365,1500.0,STEEBot,454,1843.0,player,STANDARD,0,820.731652975082
71,Cromwell8,482,1830.0,BetterBot,234,1966.0,player,STANDARD,1,501.809350013733
72,halidom21,401,2288.0,BetterBot,364,1998.0,player,STANDARD,1,842.350430011749
73,bobcubed,326,1659.0,BetterBot,387,1585.0,player,STANDARD,0,1036.22419190407
74,BB-8,340,1500.0,HastyBot,446,1649.0,bot,STANDARD,0,184.622550010681
75,Affan960,526,2021.0,STEEBot,444,2166.0,player,STANDARD,1,241.4484770298
76,Yracivc,390,2145.0,STEEBot,415,2195.0,bot,STANDARD,0,555.161539077759
77,thisguy,394,1817.0,HastyBot,374,1936.0,player,STANDARD,1,262.271335840225
79,plunder1,347,1629.0,STEEBot,373,1841.0,bot,STANDARD,0,266.214299917221
80,Hetman,440,1887.0,HastyBot,398,2237.0,player,STANDARD,1,586.096554994583
81,dystopianist,316,1714.0,STEEBot,418,1864.0,player,STANDARD,0,527.153167963028
83,Banman1,260,1626.0,STEEBot,506,1918.0,bot,STANDARD,0,442.368748188019
84,joelimus,452,2068.0,HastyBot,447,2057.0,player,STANDARD,1,222.826142072678
87,pandorable,390,1659.0,BetterBot,366,1887.0,player,STANDARD,1,140.39183306694
88,Anita,319,1630.0,STEEBot,423,1878.0,bot,STANDARD,0,355.086032152176
89,MasterYeri,374,2011.0,STEEBot,409,2122.0,player,STANDARD,0,883.108583211899
95,Zepthyeo,293,1332.0,BetterBot,495,1916.0,bot,STANDARD,0,561.906054973602
96,josh,240,1583.0,HastyBot,441,1943.0,bot,TIME,0,61.3460750579834
97,Sopejohn,415,1838.0,STEEBot,509,2077.0,bot,STANDARD,0,230.423289060593
98,TrentonTron,531,1627.0,HastyBot,628,1779.0,player,STANDARD,0,975.693061828613
99,wagyus,455,1974.0,STEEBot,429,2103.0,bot,STANDARD,1,145.385844945908
101,BB-8,327,1500.0,HastyBot,391,1649.0,player,STANDARD,0,243.959501981735
104,pandorable,329,1762.0,BetterBot,570,1837.0,bot,STANDARD,0,101.85155081749
105,ccm,408,1698.0,HastyBot,431,1977.0,player,STANDARD,0,998.586091995239
106,patricck,482,2275.0,BetterBot,321,1967.0,player,STANDARD,1,233.056482076645
108,sassaba,331,1453.0,BetterBot,418,1716.0,player,STANDARD,0,548.550383090973
109,davidavid,291,1877.0,BetterBot,386,2030.0,player,STANDARD,0,346.083250045776
111,peter3000,457,2160.0,HastyBot,491,2229.0,player,STANDARD,0,315.111477851868
